image_name,n_detected_gaps,n_ok_gaps,n_warning_gaps,n_vertical_gaps,n_horizontal_gaps,image_recommended_gap_width_mm,image_std_gap_width_mm,image_mean_robust_cv,image_quality_status,image_quality_reasons
Multimedia_31.jpg,2,1,1,2,0,6.915673017501831,0.4414703845977783,0.45639627891358053,warning,gap_quality_warnings:1
Multimedia_32.jpg,2,1,1,2,0,6.108134984970093,0.13790011405944824,0.41784020611081496,warning,gap_quality_warnings:1
Multimedia_33.jpg,2,1,1,2,0,7.079361915588379,0.8908729553222656,0.4212032647703846,warning,gap_quality_warnings:1
Multimedia_34.jpg,2,2,0,2,0,6.761904716491699,0.6726226806640625,0.38663053245918505,ok,
Multimedia_35.jpg,2,2,0,0,2,10.86707592010498,0.26389122009277344,0.134760561603675,ok,
Multimedia_36.jpg,2,2,0,0,2,10.86707592010498,0.26389122009277344,0.134760561603675,ok,
Multimedia_37.jpg,2,2,0,0,2,8.607137680053711,0.6051750183105469,0.17703433003387492,ok,
Multimedia_39.jpg,2,2,0,2,0,7.836309194564819,1.2648756504058838,0.2190145018391675,ok,
Multimedia_40.jpg,2,2,0,2,0,9.21428108215332,1.142862319946289,0.13846923179773907,ok,
Multimedia_41.jpg,4,3,1,3,1,9.839286923408508,2.3379661681233608,0.3553717926986586,warning,unexpected_number_of_gaps:4;gap_quality_warnings:1;known_problematic_after_visual_inspection
Multimedia_42.jpg,2,2,0,2,0,3.3402918577194214,0.37599241733551025,0.22663660779180894,ok,
Multimedia_43.jpg,2,2,0,2,0,2.9384835958480835,0.20038950443267822,0.2424898775083324,ok,
Multimedia_45.jpg,2,2,0,0,2,7.681535243988037,2.092247486114502,0.19785607687182202,ok,
Multimedia_46.jpg,2,2,0,0,2,6.847204685211182,1.7222285270690918,0.2023904534734366,ok,
Multimedia_47.jpg,2,2,0,0,2,5.550596237182617,1.252974510192871,0.2329288157846286,ok,
